source,row,col,filename,size,labeled
PPL_AFRICA3.png,3,3,ug_male_traditional.webp,792,True
PPL_AFRICA3.png,3,4,ug_female_traditional.webp,792,True
PPL_AFRICA3.png,4,0,cd_male_professional_2.webp,792,True
PPL_AFRICA3.png,4,1,zw_male_traditional.webp,792,True
PPL_AFRICA3.png,4,2,zm_male_traditional.webp,792,True
PPL_AFRICA3.png,4,3,zm_female_traditional_2.webp,792,True
PPL_AFRICA3.png,4,4,rw_female_traditional.webp,792,True
PPL_AFRICA4.png,0,0,ng_male_traditional_4.webp,792,True
PPL_AFRICA4.png,0,1,ng_female_traditional.webp,792,True
PPL_AFRICA4.png,0,2,eg_male_professional_2.webp,792,True
PPL_AFRICA4.png,0,3,eg_female_hijab_3.webp,792,True
PPL_AFRICA4.png,0,4,za_female_traditional_2.webp,792,True
PPL_AFRICA4.png,1,0,ke_male_maasai_2.webp,792,True
PPL_AFRICA4.png,1,1,ke_female_maasai_3.webp,792,True
PPL_AFRICA4.png,1,2,et_male_traditional_4.webp,792,True
PPL_AFRICA4.png,1,3,et_female_traditional_2.webp,792,True
PPL_AFRICA4.png,1,4,ma_male_fez_3.webp,792,True
PPL_AFRICA4.png,2,0,gh_male_kente_3.webp,792,True
PPL_AFRICA4.png,2,1,gh_female_kente_2.webp,792,True
PPL_AFRICA4.png,2,2,dz_male_djellaba.webp,792,True
PPL_AFRICA4.png,2,3,dz_female_traditional.webp,792,True
PPL_AFRICA4.png,2,4,tz_male_professional.webp,792,True
PPL_AFRICA4.png,3,0,ug_male_traditional_2.webp,792,True
PPL_AFRICA4.png,3,1,ug_female_traditional_2.webp,792,True
PPL_AFRICA4.png,3,2,cd_male_professional_3.webp,792,True
PPL_AFRICA4.png,3,3,cd_female_traditional.webp,792,True
PPL_AFRICA4.png,3,4,sn_female_casual.webp,792,True
PPL_AFRICA4.png,4,0,tn_male_fez.webp,792,True
PPL_AFRICA4.png,4,1,tn_female_traditional.webp,792,True
PPL_AFRICA4.png,4,2,zw_male_professional.webp,792,True
PPL_AFRICA4.png,4,3,zm_female_professional.webp,792,True
PPL_AFRICA4.png,4,4,rw_female_traditional_2.webp,792,True
PPL_ASIA1.png,0,0,cn_male_traditional.webp,792,True
PPL_ASIA1.png,0,1,cn_female_professional.webp,792,True
PPL_ASIA1.png,0,2,cn_male_ancient.webp,792,True
PPL_ASIA1.png,0,3,cn_female_minority.webp,792,True
PPL_ASIA1.png,0,4,cn_male_minority.webp,792,True
PPL_ASIA1.png,1,0,kr_male_traditional.webp,792,True
PPL_ASIA1.png,1,1,kr_female_traditional.webp,792,True
PPL_ASIA1.png,1,2,kr_male_casual.webp,792,True
PPL_ASIA1.png,1,3,kr_female_elderly.webp,792,True
PPL_ASIA1.png,1,4,kr_male_farmer.webp,792,True
PPL_ASIA1.png,2,0,vn_male_farmer.webp,792,True
PPL_ASIA1.png,2,1,vn_female_traditional.webp,792,True
PPL_ASIA1.png,2,2,vn_male_traditional.webp,792,True
PPL_ASIA1.png,2,3,vn_female_minority.webp,792,True
PPL_ASIA1.png,2,4,vn_female_aodai.webp,792,True
PPL_ASIA1.png,3,0,th_male_casual.webp,792,True
PPL_ASIA1.png,3,1,ph_female_traditional.webp,792,True
PPL_ASIA1.png,3,2,my_male_muslim.webp,792,True
PPL_ASIA1.png,3,3,my_female_muslim.webp,792,True
PPL_ASIA1.png,3,4,hk_male_professional.webp,792,True
PPL_ASIA1.png,4,0,sa_male_casual.webp,792,True
